,word,totalRepetitions,fileOcurrences,weight
19,arms,68,37,0.9767080745341615
80,far,64,38,0.9440993788819876
211,saw,84,28,0.9130434782608695
195,play,80,29,0.9006211180124224
90,friend,70,33,0.8967391304347826
272,whoa,100,23,0.8928571428571429
133,last,56,41,0.8913043478260869
200,put,60,38,0.8850931677018633
99,glad,71,32,0.8819875776397516
65,end,54,42,0.8804347826086957
218,shake,151,15,0.8792701863354038
24,babe,68,33,0.8711180124223602
146,lose,80,28,0.8695652173913043
128,king,82,27,0.859472049689441
45,cause,65,34,0.8579192546583851
150,lovin,69,32,0.8571428571428571
190,open,63,35,0.8559782608695652
55,dance,91,24,0.8478260869565217
264,understand,53,41,0.843555900621118
103,going,65,33,0.8326863354037267
73,everywhere,85,25,0.8249223602484472
258,took,66,32,0.8198757763975155
124,jesus,84,25,0.8152173913043478
278,woman,83,25,0.8055124223602484
253,till,59,35,0.8016304347826086
130,knew,62,33,0.7942546583850931
110,hands,66,31,0.7942546583850931
287,years,59,34,0.7787267080745341
53,crazy,74,27,0.7756211180124224
228,sometimes,66,30,0.7686335403726708
60,deep,58,34,0.765527950310559
232,star,81,24,0.7546583850931677
256,told,57,34,0.7523291925465838
64,else,55,35,0.7472826086956522
21,ask,52,37,0.7468944099378882
18,anything,56,34,0.7391304347826086
158,many,54,35,0.7336956521739131
152,lucky,111,17,0.7325310559006211
162,might,67,28,0.7282608695652174
51,comes,72,26,0.7267080745341615
279,wonder,61,30,0.7104037267080745
10,ah,73,25,0.7084627329192547
289,young,67,27,0.702251552795031
49,close,53,34,0.6995341614906833
56,darling,63,28,0.6847826086956522
139,listen,53,33,0.6789596273291926
93,game,91,19,0.6711956521739131
203,remember,54,32,0.6708074534161491
166,miss,59,29,0.6642080745341615
81,fear,61,28,0.6630434782608695
244,tears,50,34,0.6599378881987578
274,win,79,21,0.6440217391304348
215,set,66,25,0.640527950310559
79,fame,161,10,0.625
34,blue,53,30,0.6172360248447205
198,praise,103,15,0.5997670807453416
122,hurt,51,30,0.593944099378882
27,bad,58,26,0.5854037267080745
0,'',50,30,0.5822981366459627
40,buy,88,17,0.5807453416149069
262,turn,53,28,0.5760869565217391
210,savior,76,19,0.5605590062111802
204,repeat,55,26,0.5551242236024845
76,fall,51,28,0.5543478260869565
12,alive,79,18,0.5520186335403726
172,music,72,19,0.531055900621118
220,shine,52,26,0.5248447204968945
217,sexy,103,13,0.5197981366459627
85,fill,55,24,0.5124223602484472
