,word,totalRepetitions,fileOcurrences,weight
1028,"('get', 'lost')",20,4,0.031055900621118012
49,"('ai', 'nothing')",13,6,0.030279503105590064
3123,"('way', 'way')",26,3,0.030279503105590064
330,"('burn', 'baby')",26,3,0.030279503105590064
3261,"('yeah', 'ooh')",11,7,0.029891304347826088
2117,"('one', 'day')",11,7,0.029891304347826088
2513,"('set', 'free')",11,7,0.029891304347826088
907,"('fire', 'light')",19,4,0.029503105590062112
2157,"('open', 'eyes')",12,6,0.027950310559006212
1733,"('look', 'eyes')",12,6,0.027950310559006212
1566,"('let', 'fight')",18,4,0.027950310559006212
1295,"('heathens', 'fight')",36,2,0.027950310559006212
1798,"('love', 'love')",12,6,0.027950310559006212
2362,"('right', 'start')",10,7,0.02717391304347826
3047,"('want', 'watch')",23,3,0.026785714285714284
896,"('fire', 'going')",17,4,0.026397515527950312
15,"('afraid', 'afraid')",17,4,0.026397515527950312
2073,"('oh', 'baby')",17,4,0.026397515527950312
1669,"('like', 'like')",11,6,0.02562111801242236
637,"('driving', 'insane')",11,6,0.02562111801242236
1150,"('got', 'bad')",11,6,0.02562111801242236
1111,"('going', 'come')",11,6,0.02562111801242236
345,"('burn', 'one')",11,6,0.02562111801242236
1635,"('life', 'would')",11,6,0.02562111801242236
320,"('broken', 'heart')",11,6,0.02562111801242236
3028,"('want', 'love')",11,6,0.02562111801242236
833,"('fight', 'life')",13,5,0.025232919254658384
1312,"('hey', 'know')",13,5,0.025232919254658384
1530,"('last', 'forever')",13,5,0.025232919254658384
3275,"('yes', 'lord')",32,2,0.024844720496894408
2048,"('nobody', 'want')",32,2,0.024844720496894408
844,"('fight', 'till')",16,4,0.024844720496894408
1814,"('love', 'take')",16,4,0.024844720496894408
161,"('baby', 'know')",9,7,0.024456521739130436
487,"('could', 'get')",9,7,0.024456521739130436
1487,"('know', 'get')",9,7,0.024456521739130436
921,"('fire', 'ring')",21,3,0.024456521739130436
2440,"('say', 'say')",12,5,0.023291925465838508
2444,"('say', 'want')",12,5,0.023291925465838508
686,"('even', 'know')",15,4,0.023291925465838508
3214,"('would', 'like')",12,5,0.023291925465838508
1882,"('matter', 'got')",30,2,0.023291925465838508
1884,"('matter', 'say')",10,6,0.023291925465838508
719,"('everything', 'destroy')",30,2,0.023291925465838508
2178,"('pain', 'heart')",12,5,0.023291925465838508
3096,"('wash', 'away')",12,5,0.023291925465838508
83,"('among', 'among')",30,2,0.023291925465838508
491,"('could', 'take')",15,4,0.023291925465838508
1427,"('janie', 'got')",30,2,0.023291925465838508
2504,"('send', 'pain')",30,2,0.023291925465838508
2854,"('together', 'matter')",30,2,0.023291925465838508
2512,"('set', 'fire')",20,3,0.023291925465838508
159,"('baby', 'got')",10,6,0.023291925465838508
3259,"('yeah', 'oh')",12,5,0.023291925465838508
2060,"('nothing', 'nothing')",20,3,0.023291925465838508
239,"('better', 'believe')",19,3,0.022127329192546584
2694,"('study', 'war')",28,2,0.021739130434782608
1196,"('gun', 'gun')",14,4,0.021739130434782608
2738,"('take', 'chance')",14,4,0.021739130434782608
1029,"('get', 'mad')",28,2,0.021739130434782608
2641,"('stand', 'next')",28,2,0.021739130434782608
2026,"('next', 'fire')",28,2,0.021739130434782608
1752,"('lose', 'control')",14,4,0.021739130434782608
3205,"('world', 'war')",8,7,0.021739130434782608
2535,"('shoot', 'poison')",28,2,0.021739130434782608
7,"('absolutely', 'nothing')",14,4,0.021739130434782608
2241,"('poison', 'arrow')",28,2,0.021739130434782608
1077,"('go', 'get')",11,5,0.021350931677018632
2182,"('pain', 'know')",11,5,0.021350931677018632
2198,"('pain', 'take')",11,5,0.021350931677018632
1786,"('love', 'god')",11,5,0.021350931677018632
338,"('burn', 'going')",11,5,0.021350931677018632
2141,"('one', 'time')",9,6,0.02096273291925466
1532,"('last', 'night')",9,6,0.02096273291925466
2588,"('someone', 'else')",9,6,0.02096273291925466
1653,"('like', 'child')",9,6,0.02096273291925466
1132,"('going', 'take')",9,6,0.02096273291925466
2088,"('oh', 'never')",18,3,0.02096273291925466
3187,"('words', 'say')",9,6,0.02096273291925466
341,"('burn', 'hell')",18,3,0.02096273291925466
130,"('away', 'kiss')",18,3,0.02096273291925466
2050,"('nobody', 'wins')",27,2,0.02096273291925466
2445,"('say', 'war')",13,4,0.020186335403726708
3124,"('way', 'would')",13,4,0.020186335403726708
874,"('fire', 'come')",13,4,0.020186335403726708
1681,"('like', 'suffocating')",26,2,0.020186335403726708
1955,"('much', 'like')",26,2,0.020186335403726708
148,"('away', 'war')",13,4,0.020186335403726708
3011,"('want', 'fight')",13,4,0.020186335403726708
2778,"('tell', 'tell')",13,4,0.020186335403726708
1562,"('let', 'die')",13,4,0.020186335403726708
2433,"('say', 'lost')",13,4,0.020186335403726708
899,"('fire', 'heart')",26,2,0.020186335403726708
3195,"('world', 'fire')",13,4,0.020186335403726708
2370,"('riot', 'riot')",26,2,0.020186335403726708
911,"('fire', 'never')",13,4,0.020186335403726708
431,"('cold', 'war')",17,3,0.019798136645962732
1485,"('know', 'fighting')",17,3,0.019798136645962732
2174,"('pain', 'feeling')",17,3,0.019798136645962732
685,"('even', 'fight')",17,3,0.019798136645962732
623,"('doo', 'doo')",51,1,0.019798136645962732
1171,"('got', 'right')",17,3,0.019798136645962732
1286,"('heart', 'still')",10,5,0.019409937888198756
1737,"('look', 'way')",25,2,0.019409937888198756
1552,"('left', 'behind')",10,5,0.019409937888198756
3249,"('yeah', 'fire')",10,5,0.019409937888198756
1110,"('going', 'burn')",10,5,0.019409937888198756
1076,"('go', 'fight')",7,7,0.019021739130434784
2434,"('say', 'love')",7,7,0.019021739130434784
3148,"('whole', 'world')",7,7,0.019021739130434784
285,"('brand', 'new')",7,7,0.019021739130434784
2107,"('old', 'flame')",12,4,0.018633540372670808
1117,"('going', 'going')",8,6,0.018633540372670808
1257,"('head', 'full')",12,4,0.018633540372670808
1009,"('get', 'back')",8,6,0.018633540372670808
79,"('amadeus', 'amadeus')",48,1,0.018633540372670808
2779,"('tell', 'want')",12,4,0.018633540372670808
1833,"('mad', 'mad')",16,3,0.018633540372670808
162,"('baby', 'let')",12,4,0.018633540372670808
2083,"('oh', 'killer')",24,2,0.018633540372670808
1802,"('love', 'oh')",12,4,0.018633540372670808
3003,"('want', 'bad')",24,2,0.018633540372670808
2834,"('time', 'bomb')",12,4,0.018633540372670808
2426,"('say', 'even')",12,4,0.018633540372670808
2427,"('say', 'goodbye')",8,6,0.018633540372670808
1999,"('never', 'ever')",12,4,0.018633540372670808
595,"('despite', 'rage')",24,2,0.018633540372670808
